Direction,Model,Split,Seed,LGBM_OA,Scratch_OA,Scratch_AA,Scratch_F1,FT_OA,FT_AA,FT_F1,TransferGain,Scratch_TrainTime,Scratch_InfTime,FT_TrainTime,FT_InfTime,VRAM_MB,RAM_MB,Scratch_Class_0_AA,FT_Class_0_AA,Scratch_Class_1_AA,FT_Class_1_AA,Scratch_Class_2_AA,FT_Class_2_AA
Indian Pines -> Local,HybridSN,0.01,42,0.6875627888286117,0.4159132007233273,0.4829709243502347,0.3550906032430034,0.6286919831223629,0.6671343981688809,0.6243787882977165,0.21277878239903553,58.236088037490845,2.815725564956665,95.7069776058197,2.8279342651367188,544.40673828125,8659.0625,0.0,0.37142857142857144,0.8588744588744589,0.8779220779220779,0.5900383141762452,0.7520525451559934
Indian Pines -> Local,SpectralFormer-inspired,0.01,42,0.6875627888286117,0.5441028732167973,0.5651670101760846,0.5466978213155037,0.7195097448262006,0.7286822070851109,0.7215132040350051,0.17540687160940327,25.854154586791992,0.7437694072723389,25.594575881958008,0.7548995018005371,109.8671875,8666.671875,0.5203007518796993,0.693734335839599,0.70995670995671,0.7878787878787878,0.4652435686918446,0.7044334975369458
Indian Pines -> Local,ViT,0.01,42,0.6875627888286117,0.4072734579063693,0.4346776030986557,0.32873300978730646,0.7353827606992164,0.7442674956286571,0.7486547168802833,0.32810930279284706,47.26852607727051,2.1015899181365967,70.80160522460938,2.1168324947357178,636.51708984375,8667.12109375,0.6200501253132832,0.7213032581453634,0.683982683982684,0.8043290043290043,0.0,0.7071702244116037
Indian Pines -> Local,HybridSN,0.01,43,0.6779184247538678,0.5553546313039984,0.6074238190390641,0.5209070107031701,0.4798071127185051,0.5460331427663552,0.47734050630980107,-0.0755475185854933,96.33556413650513,2.7898647785186768,95.2869668006897,2.808774709701538,544.369140625,8689.0859375,0.1468671679197995,0.24411027568922306,0.8779220779220779,0.961038961038961,0.7974822112753147,0.4329501915708812
Indian Pines -> Local,SpectralFormer-inspired,0.01,43,0.6779184247538678,0.38979304802089615,0.4450296762456472,0.3904703234653675,0.6256781193490054,0.6647594255579737,0.6223756243970082,0.23588507132810926,25.544156551361084,0.7440032958984375,25.55982780456543,0.7765552997589111,109.8671875,8689.0859375,0.11077694235588972,0.4150375939849624,0.7705627705627706,0.8917748917748918,0.4537493158182813,0.6874657909140668
Indian Pines -> Local,ViT,0.01,43,0.6779184247538678,0.368696001607394,0.4543198819060888,0.3234424792257082,0.7500502310628893,0.7704669196502228,0.7560802978417641,0.38135422945549524,66.08446002006531,2.1058952808380127,63.44260787963867,2.1091344356536865,636.51708984375,8689.0859375,0.0,0.706265664160401,0.9748917748917749,0.9056277056277057,0.3880678708264915,0.6995073891625616
Indian Pines -> Local,HybridSN,0.01,44,0.6425557564798071,0.22423146473779385,0.29279258752942966,0.16692691313248778,0.6550130600763512,0.7019198990160879,0.6364629717002304,0.4307815953385573,45.101189374923706,2.7895429134368896,95.66707968711853,2.812020778656006,544.369140625,8689.18359375,0.12080200501253133,0.3037593984962406,0.7575757575757576,0.9497835497835497,0.0,0.8522167487684729
Indian Pines -> Local,SpectralFormer-inspired,0.01,44,0.6425557564798071,0.25557564798071125,0.31509075719602037,0.2038848322214163,0.5953385573638739,0.6299550687935443,0.5807849128340964,0.3397629093831626,8.536273717880249,0.7719347476959229,25.493982791900635,0.7532806396484375,109.8671875,8689.18359375,0.21453634085213033,0.27769423558897244,0.7307359307359307,0.7982683982683982,0.0,0.8139025725232621
Indian Pines -> Local,ViT,0.01,44,0.6425557564798071,0.351416515973478,0.389905624388383,0.29000236317798433,0.6931886678722122,0.7247505737523886,0.6867838303638713,0.3417721518987342,28.398730278015137,2.103471040725708,70.84866142272949,2.131955623626709,636.51708984375,8689.18359375,0.0,0.43358395989974935,0.5774891774891775,0.8857142857142857,0.5922276956759716,0.8549534756431308
Indian Pines -> Local,HybridSN,0.01,45,0.6023709061683745,0.45449065702230257,0.4699491675898209,0.43284476732735716,0.21920835844886477,0.2452342978658768,0.18031929245230427,-0.2352822985734378,80.85996341705322,2.8087944984436035,24.46052598953247,2.8188936710357666,544.369140625,8689.18359375,0.14085213032581453,0.28721804511278193,0.5021645021645021,0.4484848484848485,0.7668308702791461,0.0
