Model,OA (%),Kappa
SVM,27.34 ± 0.58,0.0660
LGBM,69.30 ± 0.85,0.5104
1D-CNN,91.14 ± 5.29,0.8305
3D-CNN,95.26 ± 1.75,0.9036
GCN,90.77 ± 3.75,0.8204
Mamba,74.80 ± 4.27,0.5731
ViT,21.73 ± 17.74,0.0000
