Model,OA (%),Kappa
1D-CNN,86.82 ± 0.00,0.7795 ± 0.0000
GCN,86.19 ± 0.00,0.7699 ± 0.0000
Mamba,64.03 ± 0.00,0.4157 ± 0.0000
ViT,72.39 ± 0.00,0.5490 ± 0.0000
