Dataset,Split,Heads,OA_Mean,OA_Std,Params,FLOPs,Train_Time_Mean,Inference_Time_Mean
Indian Pines,0.01,1,48.46162268695937,1.5538757012685265,2400016,472910848,35.731675720214845,4.037280559539795
Indian Pines,0.05,1,62.50798722044728,3.3751426095286376,2400016,472910848,81.33876576423646,3.852475881576538
Indian Pines,0.1,1,72.04383957605684,1.9001408098777763,2400016,472910848,132.43713955879213,3.6188926696777344
Indian Pines,0.01,2,48.67184933756706,2.0333704955296827,2400016,472910848,38.24867315292359,4.289554786682129
Indian Pines,0.05,2,63.35691465084436,1.0559961355190706,2400016,472910848,81.03290538787842,4.078367757797241
Indian Pines,0.1,2,72.40756353125377,1.3253259091404048,2400016,472910848,122.33658528327942,3.8595063209533693
Indian Pines,0.01,4,48.183510347092955,1.522931389658013,2400016,472910848,37.59796748161316,4.452243137359619
Indian Pines,0.05,4,61.38977635782747,1.7735226875081942,2400016,472910848,77.26458859443665,4.269800615310669
Indian Pines,0.1,4,72.07033602312417,2.567988366877683,2400016,472910848,125.22866339683533,4.024333238601685
Indian Pines,0.01,8,48.79448155042154,2.015488340248463,2400016,472910848,42.71027731895447,4.834496688842774
Indian Pines,0.05,8,61.23003194888177,2.8679403808723807,2400016,472910848,86.29332747459412,4.6433673858642575
Indian Pines,0.1,8,73.10851499458028,1.0822956383152493,2400016,472910848,140.47694220542908,4.380092620849609
