Dataset,Split,Model,OA_Mean,OA_Std,CI_95_Low,CI_95_High,Params,FLOPs
Indian Pines,0.01,Vanilla ViT (Isolated),40.643819117486046,2.896822684302868,36.622384536256725,44.66525369871537,2405552,474014848
Indian Pines,0.01,ConvStem ViT,47.42800832147159,3.007091341171657,43.253496303932224,51.60252033901095,2408224,622241392
Indian Pines,0.05,Vanilla ViT (Isolated),75.75308078502967,1.3514553487521448,73.87695999106153,77.62920157899781,2405552,474014848
Indian Pines,0.05,ConvStem ViT,84.6485623003195,2.2390468855729257,81.54026691744083,87.75685768319816,2408224,622241392
Indian Pines,0.1,Vanilla ViT (Isolated),89.8494520052993,1.2341357145210192,88.13619697343346,91.56270703716514,2405552,474014848
Indian Pines,0.1,ConvStem ViT,93.21450078284957,1.9510960637370436,90.50594522488286,95.92305634081627,2408224,622241392
