Dataset,Model,Split,Init,Linear_Probe_OA_Mean,Linear_Probe_OA_Std
Indian Pines,HybridSN,0.01,Scratch,47.811233986641845,3.0526740102834973
Indian Pines,HybridSN,0.01,Transfer,62.39789773349393,2.4519930780612023
Indian Pines,HybridSN,0.05,Scratch,68.26563213144684,3.1605987402872278
Indian Pines,HybridSN,0.05,Transfer,83.27932450935646,1.265436334554775
Indian Pines,HybridSN,0.1,Scratch,78.06575936408527,3.1423519959146877
Indian Pines,HybridSN,0.1,Transfer,91.41755991810189,1.312471304688358
Indian Pines,SpectralFormer,0.01,Scratch,37.84736669221505,1.6506613425803542
Indian Pines,SpectralFormer,0.01,Transfer,39.54450892368335,1.1405286905780505
Indian Pines,SpectralFormer,0.05,Scratch,45.06389776357828,0.41289576916106396
Indian Pines,SpectralFormer,0.05,Transfer,46.64536741214057,0.3640587889900453
Indian Pines,SpectralFormer,0.1,Scratch,46.556666265205344,0.4401261291450204
Indian Pines,SpectralFormer,0.1,Transfer,49.07382873660122,0.2193963152929917
Indian Pines,VanillaViT,0.01,Scratch,35.51516478703603,0.8359017913865976
Indian Pines,VanillaViT,0.01,Transfer,35.51516478703603,0.8359017913865976
Indian Pines,VanillaViT,0.05,Scratch,38.74030123231402,0.6646016263757524
Indian Pines,VanillaViT,0.05,Transfer,38.74030123231402,0.6646016263757524
Indian Pines,VanillaViT,0.1,Scratch,40.90328796820425,0.6720160301459516
Indian Pines,VanillaViT,0.1,Transfer,40.90328796820425,0.6720160301459516
